Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017
"Greene County","Greene County, Georgia","1003453171","48628232","050","00","3","5","13133","13","133",15994,15994,7809,8185,15994,898,959,903,537,1064,1736,1631,2120,2788,2238,826,294,15994,15101,8771,6078,38,54,10,15,135,893,285,27,12,0,3,525,41
"Gwinnett County","Gwinnett County, Georgia","1114687261","16555611","050","00","3","5","13135","13","135",805321,805321,397153,408168,805321,62242,66698,66330,39437,68532,115054,133548,121973,76402,34060,15764,5281,805321,643286,354316,184122,1535,84763,343,2489,15718,162035,75247,6045,2503,529,134,68003,9574
"Habersham County","Habersham County, Georgia","716752092","5919798","050","00","3","5","13137","13","137",43041,43041,20301,22740,43041,2885,2953,2837,1629,3837,5402,5666,5929,5304,3745,2137,717,43041,37708,34621,1412,81,955,47,34,558,5333,2272,32,114,5,18,2679,213
"Hall County","Hall County, Georgia","1017300166","94568081","050","00","3","5","13139","13","139",179684,179684,89601,90083,179684,14123,14573,13536,7934,16721,24141,25660,24185,18801,11571,6246,2193,179684,132778,114300,12757,372,3181,57,249,1862,46906,18897,522,439,45,110,24793,2100
"Hancock County","Hancock County, Georgia","1222061286","17715202","050","00","3","5","13141","13","141",9429,9429,5170,4259,9429,433,415,484,387,844,1249,1184,1541,1424,875,425,168,9429,9290,2212,6959,21,47,1,0,50,139,88,24,14,0,0,6,7
"Haralson County","Haralson County, Georgia","730804051","2616008","050","00","3","5","13143","13","143",28780,28780,14072,14708,28780,1848,2085,2080,1220,2529,3307,4043,4172,3460,2402,1213,421,28780,28462,26516,1342,63,139,2,21,379,318,191,11,3,2,0,94,17
"Harris County","Harris County, Georgia","1201414214","23536240","050","00","3","5","13145","13","145",32024,32024,15975,16049,32024,1762,2104,2241,1511,2331,2944,4564,5447,4882,2656,1223,359,32024,31152,24848,5457,100,280,17,45,405,872,544,49,8,7,0,193,71
"Hart County","Hart County, Georgia","601897046","63595058","050","00","3","5","13147","13","147",25213,25213,12455,12758,25213,1542,1522,1590,957,1973,2627,3190,3718,3567,2561,1466,500,25213,24427,19213,4691,28,211,0,21,263,786,302,19,1,7,0,401,56
"Heard County","Heard County, Georgia","766714528","13116455","050","00","3","5","13149","13","149",11834,11834,5885,5949,11834,746,822,887,593,976,1253,1695,1816,1481,949,451,165,11834,11611,10190,1152,32,56,2,4,175,223,94,7,4,0,1,87,30
"Henry County","Henry County, Georgia","834304554","11447521","050","00","3","5","13151","13","151",203922,203922,97859,106063,203922,13835,16514,18231,11077,16718,24777,34428,31077,20217,10769,4926,1353,203922,192109,107083,74056,482,5902,110,504,3972,11813,5118,1221,73,66,19,4311,1005
"Houston County","Houston County, Georgia","972645761","11344823","050","00","3","5","13153","13","153",139900,139900,68066,71834,139900,10211,10345,10279,6656,13333,19992,18918,21205,14390,8463,4706,1402,139900,131385,84703,39535,392,3360,96,210,3089,8515,3923,463,83,43,89,3150,764
"Irwin County","Irwin County, Georgia","917743923","21807567","050","00","3","5","13155","13","155",9538,9538,4804,4734,9538,602,658,668,387,819,1181,1289,1308,1141,853,447,185,9538,9310,6719,2459,2,61,0,6,63,228,92,13,0,0,0,101,22
"Jackson County","Jackson County, Georgia","879722928","8900197","050","00","3","5","13157","13","157",60485,60485,30002,30483,60485,4313,4675,4466,2591,4724,7754,9182,8777,6806,4514,1966,717,60485,56749,50695,4050,91,1026,12,59,816,3736,1801,53,33,7,1,1590,251
"Jasper County","Jasper County, Georgia","953542690","13725963","050","00","3","5","13159","13","159",13900,13900,6916,6984,13900,946,976,968,585,1130,1634,1870,2096,1931,1065,524,175,13900,13390,10095,3030,40,30,1,18,176,510,176,7,15,0,0,255,57
"Jeff Davis County","Jeff Davis County, Georgia","856613114","12063799","050","00","3","5","13161","13","161",15068,15068,7464,7604,15068,1183,1190,1151,642,1307,1882,1939,2073,1827,1161,538,175,15068,13491,11056,2212,27,70,0,6,120,1577,407,12,7,0,0,1091,60
"Jefferson County","Jefferson County, Georgia","1363589314","8241842","050","00","3","5","13163","13","163",16930,16930,8183,8747,16930,1171,1221,1139,740,1469,1962,2119,2360,2251,1397,785,316,16930,16413,7015,9187,18,64,2,13,114,517,191,26,0,4,0,262,34
"Jenkins County","Jenkins County, Georgia","899448996","13452255","050","00","3","5","13165","13","165",8340,8340,3959,4381,8340,613,607,642,374,744,894,959,1150,1101,664,428,164,8340,8006,4508,3353,22,36,1,7,79,334,71,27,4,0,3,212,17
"Johnson County","Johnson County, Georgia","784793399","9278578","050","00","3","5","13167","13","167",9980,9980,5592,4388,9980,550,585,614,341,779,1382,1414,1653,1273,775,450,164,9980,9794,6219,3461,17,22,3,7,65,186,82,28,2,0,0,58,16
"Jones County","Jones County, Georgia","1020281755","3842707","050","00","3","5","13169","13","169",28669,28669,13870,14799,28669,1890,2027,2197,1359,2219,3250,4010,4497,3634,2201,1020,365,28669,28354,20830,6977,61,186,2,25,273,315,159,31,2,1,1,78,43
"Lamar County","Lamar County, Georgia","475262611","6046031","050","00","3","5","13171","13","171",18317,18317,8852,9465,18317,1087,1056,1063,663,2677,2044,2268,2586,2386,1482,748,257,18317,17976,11943,5621,34,68,2,22,286,341,155,29,13,4,0,120,20
"Lanier County","Lanier County, Georgia","479824426","37625302","050","00","3","5","13173","13","173",10078,10078,5084,4994,10078,896,729,706,437,963,1552,1306,1363,1022,680,347,77,10078,9617,6899,2367,38,101,3,4,205,461,219,23,15,2,0,171,31
"Laurens County","Laurens County, Georgia","2090886200","28942290","050","00","3","5","13175","13","175",48434,48434,23066,25368,48434,3462,3489,3315,2209,4098,5893,6282,6820,5982,3834,2176,874,48434,47291,28920,17268,87,478,4,41,493,1143,435,56,13,5,0,550,84
"Lee County","Lee County, Georgia","921475641","15407913","050","00","3","5","13177","13","177",28298,28298,14097,14201,28298,1865,2261,2402,1407,2252,3566,4465,4413,3313,1461,665,228,28298,27738,21453,5239,66,609,19,25,327,560,310,29,8,8,0,145,60
"Liberty County","Liberty County, Georgia","1268578765","291960039","050","00","3","5","13179","13","179",63453,63453,30962,32491,63453,6552,5244,4540,2855,8837,10472,7748,7909,5325,2654,1019,298,63453,57294,27085,26018,287,1182,364,142,2216,6159,2796,787,71,65,28,1668,744
"Lincoln County","Lincoln County, Georgia","544880697","121517149","050","00","3","5","13181","13","181",7996,7996,3896,4100,7996,420,415,482,334,637,714,1000,1313,1285,868,424,104,7996,7898,5201,2562,27,32,1,9,66,98,56,8,1,0,0,24,9
"Long County","Long County, Georgia","1036755278","9116399","050","00","3","5","13183","13","183",14464,14464,7162,7302,14464,1355,1198,1188,678,1506,2271,1977,1920,1316,635,297,123,14464,12686,8491,3541,76,110,51,32,385,1778,535,106,15,5,5,1007,105
"Lowndes County","Lowndes County, Georgia","1284805506","37578770","050","00","3","5","13185","13","185",109233,109233,53285,55948,109233,8264,7329,7120,4257,19016,15729,13127,13386,10312,6178,3371,1144,109233,103995,61234,38815,305,1561,92,244,1744,5238,2251,327,111,30,30,1921,568
